year,month,cover_image_url,features,season,secondary_color_1,secondary_color_2,secondary_color_3,secondary_color_4,primary_color
1978,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19780101thumbnails/Covers/0x600/19780101.jpg,"[{'title': 'Antiques: Kilim Rugs', 'link': 'https://archive.architecturaldigest.com/article/1978/1/antiques-kilim-rugs'}, {'title': 'Historic Houses: The Morris-Jumel Mansion', 'link': 'https://archive.architecturaldigest.com/article/1978/1/historic-houses-the-morris-jumel-mansion'}, {'title': 'ARCHITECTURAL DIGEST VISITS: George Cukor', 'link': 'https://archive.architecturaldigest.com/article/1978/1/architectural-digest-visits-george-cukor'}]",Winter,whitesmoke,black,darkslategrey,tan,dimgrey
1978,March,https://architecturaldigest.blob.core.windows.net/architecturaldigest19780301thumbnails/Covers/0x600/19780301.jpg,"[{'title': 'IN THE SHOWROOMS', 'link': 'https://archive.architecturaldigest.com/article/1978/3/in-the-showrooms'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1978/3/guest-speaker'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1978/3/people-are-the-issue'}]",Spring,whitesmoke,black,saddlebrown,tan,sienna
1978,April,https://architecturaldigest.blob.core.windows.net/architecturaldigest19780401thumbnails/Covers/0x600/19780401.jpg,"[{'title': 'ARCHITECTURAL DIGEST VISITS: Zandra Rhodes', 'link': 'https://archive.architecturaldigest.com/article/1978/4/architectural-digest-visits-zandra-rhodes'}, {'title': 'INTERNATIONAL ART MARKET', 'link': 'https://archive.architecturaldigest.com/article/1978/4/international-art-market'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1978/4/guest-speaker'}]",Spring,black,whitesmoke,peru,saddlebrown,tan
1978,May,https://architecturaldigest.blob.core.windows.net/architecturaldigest19780501thumbnails/Covers/0x600/19780501.jpg,"[{'title': 'Architecture: John Lautner', 'link': 'https://archive.architecturaldigest.com/article/1978/5/architecture-john-lautner'}, {'title': 'ARCHITECTURAL DIGEST VISITS: Barbra Streisand', 'link': 'https://archive.architecturaldigest.com/article/1978/5/architectural-digest-visits-barbra-streisand'}, {'title': 'Gardens: Tahitian Paradise', 'link': 'https://archive.architecturaldigest.com/article/1978/5/gardens-tahitian-paradise'}]",Spring,burlywood,black,grey,whitesmoke,darkolivegreen
1978,June,https://architecturaldigest.blob.core.windows.net/architecturaldigest19780601thumbnails/Covers/0x600/19780601.jpg,"[{'title': 'Antiques: French Art Glass', 'link': 'https://archive.architecturaldigest.com/article/1978/6/antiques-french-art-glass'}, {'title': 'Gardens: Inverewe', 'link': 'https://archive.architecturaldigest.com/article/1978/6/gardens-inverewe'}, {'title': 'ARCHITECTURAL DIGEST VISITS: Hubert de Givenchy', 'link': 'https://archive.architecturaldigest.com/article/1978/6/architectural-digest-visitshubert-de-givenchy'}]",Summer,whitesmoke,black,tan,dimgrey,darkslategrey
1978,July,https://architecturaldigest.blob.core.windows.net/architecturaldigest19780701thumbnails/Covers/0x600/19780701.jpg,"[{'title': 'ARCHITECTURAL DIGEST VISITS: Roy Lichtenstein', 'link': 'https://archive.architecturaldigest.com/article/1978/7/architectural-digest-visits-roy-lichtenstein'}, {'title': 'Historic Houses: Legacy of a Norman Baron', 'link': 'https://archive.architecturaldigest.com/article/1978/7/historic-houses-legacy-of-a-norman-baron'}, {'title': 'Art: Portraits of the Famous', 'link': 'https://archive.architecturaldigest.com/article/1978/7/art-portraits-of-the-famous'}]",Summer,whitesmoke,darkolivegreen,darkkhaki,black,darkslategrey
1978,September,https://architecturaldigest.blob.core.windows.net/architecturaldigest19780901thumbnails/Covers/0x600/19780901.jpg,"[{'title': 'Art: Cityscapes', 'link': 'https://archive.architecturaldigest.com/article/1978/9/art-cityscapes'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1978/9/people-are-the-issue'}, {'title': 'Washington: Mrs. David Bruce', 'link': 'https://archive.architecturaldigest.com/article/1978/9/washington-mrsdavid-bruce'}]",Fall,burlywood,black,darkolivegreen,whitesmoke,peru
1978,October,https://architecturaldigest.blob.core.windows.net/architecturaldigest19781001thumbnails/Covers/0x600/19781001.jpg,"[{'title': 'ARCHITECTURAL DIGEST VISITS: Joseph Alsop', 'link': 'https://archive.architecturaldigest.com/article/1978/10/architectural-digest-visits-joseph-alsop'}, {'title': 'Torre Olivola in Umbria', 'link': 'https://archive.architecturaldigest.com/article/1978/10/torre-olivola-in-umbria'}, {'title': 'The Collectors: Château de Hautefort', 'link': 'https://archive.architecturaldigest.com/article/1978/10/the-collectors-chateau-de-hautefort'}]",Fall,black,whitesmoke,grey,darkolivegreen,darkgrey
1978,November,https://architecturaldigest.blob.core.windows.net/architecturaldigest19781101thumbnails/Covers/0x600/19781101.jpg,"[{'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1978/11/people-are-the-issue'}, {'title': 'A Retrospective of Ruhlmann', 'link': 'https://archive.architecturaldigest.com/article/1978/11/a-retrospective-of-ruhlmann'}, {'title': 'At the Liria Palace', 'link': 'https://archive.architecturaldigest.com/article/1978/11/at-the-liria-palace'}]",Fall,black,whitesmoke,grey,darkolivegreen,burlywood
1978,December,https://architecturaldigest.blob.core.windows.net/architecturaldigest19781201thumbnails/Covers/0x600/19781201.jpg,"[{'title': 'Historic Houses: Culzean Castle in Scotland', 'link': 'https://archive.architecturaldigest.com/article/1978/12/culzean-castle-in-scotland'}, {'title': 'Thames Side', 'link': 'https://archive.architecturaldigest.com/article/1978/12/thames-side'}, {'title': 'Art: Vistas of Splendor', 'link': 'https://archive.architecturaldigest.com/article/1978/12/vistas-of-splendor'}]",Winter,whitesmoke,maroon,black,rosybrown,saddlebrown
1979,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19790101thumbnails/Covers/0x600/19790101.jpg,"[{'title': 'Gardens: Variety in Miniature', 'link': 'https://archive.architecturaldigest.com/article/1979/1/gardens-variety-in-miniature'}, {'title': 'ARCHITECTURAL DIGEST VISITS: Joan Miró', 'link': 'https://archive.architecturaldigest.com/article/1979/1/architectural-digest-visits-joan-miro'}, {'title': 'The Collectors: Riches of the Czars', 'link': 'https://archive.architecturaldigest.com/article/1979/1/the-collectors-riches-of-the-czars'}]",Winter,whitesmoke,darkslategrey,black,darkgrey,dimgrey
1979,March,https://architecturaldigest.blob.core.windows.net/architecturaldigest19790301thumbnails/Covers/0x600/19790301.jpg,"[{'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1979/3/people-are-the-issue'}, {'title': 'Historic Houses: The Locusts', 'link': 'https://archive.architecturaldigest.com/article/1979/3/historic-houses-the-locusts'}, {'title': 'Architecture: Luis Barragán', 'link': 'https://archive.architecturaldigest.com/article/1979/3/architecture-luis-barragan'}]",Spring,tan,linen,grey,black,darkslategrey
1979,April,https://architecturaldigest.blob.core.windows.net/architecturaldigest19790401thumbnails/Covers/0x600/19790401.jpg,"[{'title': 'Antiques: Art Nouveau Furniture', 'link': 'https://archive.architecturaldigest.com/article/1979/4/antiques-art-nouveau-furniture'}, {'title': 'Guest Speaker', 'link': 'https://archive.architecturaldigest.com/article/1979/4/guest-speaker'}, {'title': 'Russell Lynes Observes', 'link': 'https://archive.architecturaldigest.com/article/1979/4/russell-lynes-observes'}]",Spring,whitesmoke,darkslategrey,sienna,black,peru
1979,May,https://architecturaldigest.blob.core.windows.net/architecturaldigest19790501thumbnails/Covers/0x600/19790501.jpg,"[{'title': 'Antiques: The Radiance of Lamps', 'link': 'https://archive.architecturaldigest.com/article/1979/5/antiques-the-radiance-of-lamps'}, {'title': ""Historic Houses: Wisconsin's Finnish Farmsteads"", 'link': 'https://archive.architecturaldigest.com/article/1979/5/historie-houses-wisconsins-finnish-farmsteads'}, {'title': 'INTERNATIONAL ART MARKET', 'link': 'https://archive.architecturaldigest.com/article/1979/5/international-art-market'}]",Spring,whitesmoke,black,tan,saddlebrown,peru
1979,June,https://architecturaldigest.blob.core.windows.net/architecturaldigest19790601thumbnails/Covers/0x600/19790601.jpg,"[{'title': 'Art: By the Sea', 'link': 'https://archive.architecturaldigest.com/article/1979/6/art-by-the-sea'}, {'title': 'Flemings Hall in Suffolk', 'link': 'https://archive.architecturaldigest.com/article/1979/6/flemings-hall-in-suffolk'}, {'title': ""Historic Houses: Peking's Imperial Palace"", 'link': 'https://archive.architecturaldigest.com/article/1979/6/historic-houses-pekings-imperial-palace'}]",Summer,black,whitesmoke,sienna,wheat,darkkhaki
1979,July,https://architecturaldigest.blob.core.windows.net/architecturaldigest19790701thumbnails/Covers/0x600/19790701.jpg,"[{'title': 'Background for Art and Music', 'link': 'https://archive.architecturaldigest.com/article/1979/7/background-for-art-and-music'}, {'title': 'People Are the Issue', 'link': 'https://archive.architecturaldigest.com/article/1979/7/people-are-the-issue'}, {'title': 'International Art Market', 'link': 'https://archive.architecturaldigest.com/article/1979/7/international-art-market'}]",Summer,silver,rosybrown,whitesmoke,darkolivegreen,black
1979,September,https://architecturaldigest.blob.core.windows.net/architecturaldigest19790901thumbnails/Covers/0x600/19790901.jpg,"[{'title': ""Historic Houses: Victor Hugo's Island Retreat"", 'link': 'https://archive.architecturaldigest.com/article/1979/9/historic-houses-victor-hugos-island-retreat'}, {'title': 'People Are the Issue', 'link': 'https://archive.architecturaldigest.com/article/1979/9/people-are-the-issue'}, {'title': 'Designed for Reading', 'link': 'https://archive.architecturaldigest.com/article/1979/9/designed-for-reading'}]",Fall,whitesmoke,darkslateblue,dimgrey,black,rosybrown
1979,October,https://architecturaldigest.blob.core.windows.net/architecturaldigest19791001thumbnails/Covers/0x600/19791001.jpg,"[{'title': 'IN THE SHOWROOMS', 'link': 'https://archive.architecturaldigest.com/article/1979/10/in-the-showrooms'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1979/10/guest-speaker'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1979/10/people-are-the-issue'}]",Fall,whitesmoke,dimgrey,darkgrey,darkslategrey,black
1979,November,https://architecturaldigest.blob.core.windows.net/architecturaldigest19791101thumbnails/Covers/0x600/19791101.jpg,"[{'title': 'DESIGNED FOR READING', 'link': 'https://archive.architecturaldigest.com/article/1979/11/designed-for-reading'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1979/11/people-are-the-issue'}, {'title': 'MARRAKECH NOTEBOOK', 'link': 'https://archive.architecturaldigest.com/article/1979/11/marrakech-notebook'}]",Fall,whitesmoke,rosybrown,silver,darkolivegreen,black
1979,December,https://architecturaldigest.blob.core.windows.net/architecturaldigest19791201thumbnails/Covers/0x600/19791201.jpg,"[{'title': 'INTERNATIONAL PROPERTIES', 'link': 'https://archive.architecturaldigest.com/article/1979/12/international-properties'}, {'title': 'The Collectors: Homage to Rodin', 'link': 'https://archive.architecturaldigest.com/article/1979/12/the-collectors-homage-to-rodin'}, {'title': 'DESIGNED FOR READING', 'link': 'https://archive.architecturaldigest.com/article/1979/12/designed-for-reading'}]",Winter,whitesmoke,rosybrown,,darkolivegreen,black
1980,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19800101thumbnails/Covers/0x600/19800101.jpg,"[{'title': 'The Collectors: At Waddesdon Manor', 'link': 'https://archive.architecturaldigest.com/article/1980/1/the-collectors-at-waddesdon-manor'}, {'title': 'ARCHITECTURAL DIGEST VISITS: Françoise Sagan', 'link': 'https://archive.architecturaldigest.com/article/1980/1/architectural-digest-visits-francoise-sagan'}, {'title': 'DESIGNED FOR READING', 'link': 'https://archive.architecturaldigest.com/article/1980/1/designed-for-reading'}]",Winter,whitesmoke,saddlebrown,black,darksalmon,sienna
1980,March,https://architecturaldigest.blob.core.windows.net/architecturaldigest19800301thumbnails/Covers/0x600/19800301.jpg,"[{'title': 'ARCHITECTURAL DIGEST VISITS: Henry Moore', 'link': 'https://archive.architecturaldigest.com/article/1980/3/architectural-digest-visits-henry-moore'}, {'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1980/3/artists-dialogue'}, {'title': 'DESIGN DIALOGUE', 'link': 'https://archive.architecturaldigest.com/article/1980/3/design-dialogue'}]",Spring,whitesmoke,tan,black,sienna,darkolivegreen
1980,April,https://architecturaldigest.blob.core.windows.net/architecturaldigest19800401thumbnails/Covers/0x600/19800401.jpg,"[{'title': 'Antiques: Gleaming Elegance', 'link': 'https://archive.architecturaldigest.com/article/1980/4/antiques-gleaming-elegance'}, {'title': 'RUSSELL LYNES OBSERVES', 'link': 'https://archive.architecturaldigest.com/article/1980/4/russell-lynes-observes'}, {'title': 'IN THE SHOWROOMS', 'link': 'https://archive.architecturaldigest.com/article/1980/4/in-the-showrooms'}]",Spring,whitesmoke,black,khaki,darkolivegreen,peru
1980,May,https://architecturaldigest.blob.core.windows.net/architecturaldigest19800501thumbnails/Covers/0x600/19800501.jpg,"[{'title': 'DESIGNED FOR READING', 'link': 'https://archive.architecturaldigest.com/article/1980/5/designed-for-reading'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1980/5/guest-speaker'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1980/5/people-are-the-issue'}]",Spring,black,whitesmoke,rosybrown,saddlebrown,tan
1980,June,https://architecturaldigest.blob.core.windows.net/architecturaldigest19800601thumbnails/Covers/0x600/19800601.jpg,"[{'title': 'RUSSELL LYNES OBSERVES', 'link': 'https://archive.architecturaldigest.com/article/1980/6/russell-lynes-observes'}, {'title': 'DESIGNED FOR READING', 'link': 'https://archive.architecturaldigest.com/article/1980/6/designed-for-reading'}, {'title': 'ARCHITECTURAL DIGEST VISITS: Mr. and Mrs. Mike Nichols', 'link': 'https://archive.architecturaldigest.com/article/1980/6/architectural-digest-visits-mr-and-mrs-mike-nichols'}]",Summer,tan,whitesmoke,black,dimgrey,wheat
1980,July,https://architecturaldigest.blob.core.windows.net/architecturaldigest19800701thumbnails/Covers/0x600/19800701.jpg,"[{'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1980/7/guest-speaker'}, {'title': 'Auras of Fantasy', 'link': 'https://archive.architecturaldigest.com/article/1980/7/auras-of-fantasy'}, {'title': 'Art: Paintings of Odalisques', 'link': 'https://archive.architecturaldigest.com/article/1980/7/art-paintings-of-odalisques'}]",Summer,black,grey,whitesmoke,darkslategrey,silver
1980,September,https://architecturaldigest.blob.core.windows.net/architecturaldigest19800901thumbnails/Covers/0x600/19800901.jpg,"[{'title': 'OBJECTS', 'link': 'https://archive.architecturaldigest.com/article/1980/9/objects'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1980/9/people-are-the-issue'}, {'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1980/9/artists-dialogue'}]",Fall,whitesmoke,peru,black,maroon,brown
1980,October,https://architecturaldigest.blob.core.windows.net/architecturaldigest19801001thumbnails/Covers/0x600/19801001.jpg,"[{'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1980/10/guest-speaker'}, {'title': 'OBJECTS', 'link': 'https://archive.architecturaldigest.com/article/1980/10/objects'}, {'title': ""DESIGNER'S TRAVEL NOTES"", 'link': 'https://archive.architecturaldigest.com/article/1980/10/designers-travel-notes'}]",Fall,whitesmoke,black,darkolivegreen,burlywood,peru
1980,November,https://architecturaldigest.blob.core.windows.net/architecturaldigest19801101thumbnails/Covers/0x600/19801101.jpg,"[{'title': 'ANTIQUES NOTEBOOK', 'link': 'https://archive.architecturaldigest.com/article/1980/11/antiques-notebook'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1980/11/guest-speaker'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1980/11/people-are-the-issue'}]",Fall,black,whitesmoke,darkslategrey,sienna,burlywood
1980,December,https://architecturaldigest.blob.core.windows.net/architecturaldigest19801201thumbnails/Covers/0x600/19801201.jpg,"[{'title': 'OBJECTS', 'link': 'https://archive.architecturaldigest.com/article/1980/12/objects'}, {'title': 'DESIGNED FOR READING', 'link': 'https://archive.architecturaldigest.com/article/1980/12/designed-for-reading'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1980/12/guest-speaker'}]",Winter,whitesmoke,rosybrown,darkslategrey,steelblue,black
1981,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19810101thumbnails/Covers/0x600/19810101.jpg,"[{'title': 'INTERNATIONAL ART MARKET', 'link': 'https://archive.architecturaldigest.com/article/1981/1/international-art-market'}, {'title': 'The Collectors: Château de Groussay', 'link': 'https://archive.architecturaldigest.com/article/1981/1/the-collectors-chateau-de-groussay'}, {'title': 'Homage to Art', 'link': 'https://archive.architecturaldigest.com/article/1981/1/homage-to-art'}]",Winter,whitesmoke,black,darkkhaki,dimgrey,darkslategrey
1981,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19810201thumbnails/Covers/0x600/19810201.jpg,"[{'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1981/2/people-are-the-issue'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1981/2/guest-speaker'}, {'title': 'RUSSELL LYNES OBSERVES', 'link': 'https://archive.architecturaldigest.com/article/1981/2/russell-lynes-observes'}]",Winter,darkolivegreen,rosybrown,black,silver,whitesmoke
1981,March,https://architecturaldigest.blob.core.windows.net/architecturaldigest19810301thumbnails/Covers/0x600/19810301.jpg,"[{'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1981/3/people-are-the-issue'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1981/3/guest-speaker'}, {'title': 'DESIGN DIALOGUE', 'link': 'https://archive.architecturaldigest.com/article/1981/3/design-dialogue'}]",Spring,black,whitesmoke,darkslategrey,dimgrey,darkgrey
1981,April,https://architecturaldigest.blob.core.windows.net/architecturaldigest19810401thumbnails/Covers/0x600/19810401.jpg,"[{'title': 'OBJECTS', 'link': 'https://archive.architecturaldigest.com/article/1981/4/objects'}, {'title': 'Gardens: A Subtropical Setting', 'link': 'https://archive.architecturaldigest.com/article/1981/4/gardens-a-subtropical-setting'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1981/4/people-are-the-issue'}]",Spring,whitesmoke,saddlebrown,sienna,darkslategrey,burlywood
1981,May,https://architecturaldigest.blob.core.windows.net/architecturaldigest19810501thumbnails/Covers/0x600/19810501.jpg,"[{'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1981/5/artists-dialogue'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1981/5/guest-speaker'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1981/5/people-are-the-issue'}]",Spring,black,sienna,darkolivegreen,whitesmoke,burlywood
1981,June,https://architecturaldigest.blob.core.windows.net/architecturaldigest19810601thumbnails/Covers/0x600/19810601.jpg,"[{'title': 'IN THE SHOWROOMS', 'link': 'https://archive.architecturaldigest.com/article/1981/6/in-the-showrooms'}, {'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1981/6/artists-dialogue'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1981/6/guest-speaker'}]",Summer,darkolivegreen,black,wheat,rosybrown,linen
1981,July,https://architecturaldigest.blob.core.windows.net/architecturaldigest19810701thumbnails/Covers/0x600/19810701.jpg,"[{'title': 'Russell Lynes Observes', 'link': 'https://archive.architecturaldigest.com/article/1981/7/russell-lynes-observes'}, {'title': ""ARCHITECTURAL DIGEST VISITS: Georgia O'Keeffe"", 'link': 'https://archive.architecturaldigest.com/article/1981/7/architectural-digest-visitsgeorgia-okeeffe'}, {'title': 'People Are the Issue', 'link': 'https://archive.architecturaldigest.com/article/1981/7/people-are-the-issue'}]",Summer,whitesmoke,black,darkolivegreen,grey,rosybrown
1981,August,https://architecturaldigest.blob.core.windows.net/architecturaldigest19810801thumbnails/Covers/0x600/19810801.jpg,"[{'title': 'RUSSELL LYNES OBSERVES', 'link': 'https://archive.architecturaldigest.com/article/1981/8/russell-lynes-observes'}, {'title': 'Rural Grace', 'link': 'https://archive.architecturaldigest.com/article/1981/8/rural-grace'}, {'title': 'L’Hôtel de Charost', 'link': 'https://archive.architecturaldigest.com/article/1981/8/lhotel-de-charost'}]",Summer,darkolivegreen,whitesmoke,black,tan,grey
1981,September,https://architecturaldigest.blob.core.windows.net/architecturaldigest19810901thumbnails/Covers/0x600/19810901.jpg,"[{'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1981/9/people-are-the-issue'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1981/9/guest-speaker'}, {'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1981/9/artists-dialogue'}]",Fall,linen,black,darkolivegreen,tan,grey
1981,October,https://architecturaldigest.blob.core.windows.net/architecturaldigest19811001thumbnails/Covers/0x600/19811001.jpg,"[{'title': 'RUSSELL LYNES OBSERVES', 'link': 'https://archive.architecturaldigest.com/article/1981/10/russell-lynes-observes'}, {'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1981/10/artists-dialogue'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1981/10/people-are-the-issue'}]",Fall,black,grey,darkolivegreen,whitesmoke,tan
1981,November,https://architecturaldigest.blob.core.windows.net/architecturaldigest19811101thumbnails/Covers/0x600/19811101.jpg,"[{'title': ""DESIGNER'S TRAVEL NOTES"", 'link': 'https://archive.architecturaldigest.com/article/1981/11/designers-travel-notes'}, {'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1981/11/artists-dialogue'}, {'title': 'DESIGNED FOR READING', 'link': 'https://archive.architecturaldigest.com/article/1981/11/designed-for-reading'}]",Fall,black,dimgrey,lightslategrey,whitesmoke,silver
1981,December,https://architecturaldigest.blob.core.windows.net/architecturaldigest19811201thumbnails/Covers/0x600/19811201.jpg,"[{'title': 'ARCHITECTURAL DIGEST VISITS: President and Mrs. Ronald Reagan at the White House', 'link': 'https://archive.architecturaldigest.com/article/1981/12/architectural-digest-visits-president-and-mrs-ronald-reagan-at-the-white-house'}, {'title': ""DESIGNER'S TRAVEL NOTES"", 'link': 'https://archive.architecturaldigest.com/article/1981/12/designers-travel-notes'}, {'title': 'ANTIQUES NOTEBOOK', 'link': 'https://archive.architecturaldigest.com/article/1981/12/antiques-notebook'}]",Winter,lavender,darkslategrey,dimgrey,black,darkgrey
1982,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19820101thumbnails/Covers/0x600/19820101.jpg,"[{'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1982/1/artists-dialogue'}, {'title': 'The Collectors: Neo-Classical Splendor', 'link': 'https://archive.architecturaldigest.com/article/1982/1/the-collectors-neo-classical-splendor'}, {'title': 'Recollections of Old Santa Fe', 'link': 'https://archive.architecturaldigest.com/article/1982/1/recollections-of-old-santa-fe'}]",Winter,whitesmoke,darkolivegreen,tan,black,grey
1982,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19820201thumbnails/Covers/0x600/19820201.jpg,"[{'title': ""DESIGNER'S TRAVEL NOTES"", 'link': 'https://archive.architecturaldigest.com/article/1982/2/designers-travel-notes'}, {'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1982/2/artists-dialogue'}, {'title': 'The Collectors: Period Style', 'link': 'https://archive.architecturaldigest.com/article/1982/2/the-collectors-period-style'}]",Winter,peru,whitesmoke,burlywood,darkolivegreen,black
1982,March,https://architecturaldigest.blob.core.windows.net/architecturaldigest19820301thumbnails/Covers/0x600/19820301.jpg,"[{'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1982/3/people-are-the-issue'}, {'title': 'City and Country', 'link': 'https://archive.architecturaldigest.com/article/1982/3/city-and-country'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1982/3/guest-speaker'}]",Spring,black,whitesmoke,darkolivegreen,tan,peru
1982,April,https://architecturaldigest.blob.core.windows.net/architecturaldigest19820401thumbnails/Covers/0x600/19820401.jpg,"[{'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1982/4/people-are-the-issue'}, {'title': 'GUEST SPEAKER', 'link': 'https://archive.architecturaldigest.com/article/1982/4/guest-speaker'}, {'title': 'Tradition Redefined', 'link': 'https://archive.architecturaldigest.com/article/1982/4/tradition-redefined'}]",Spring,black,whitesmoke,sienna,darkslategrey,darkkhaki
1982,May,https://architecturaldigest.blob.core.windows.net/architecturaldigest19820501thumbnails/Covers/0x600/19820501.jpg,"[{'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1982/5/people-are-the-issue'}, {'title': 'ANTIQUES NOTEBOOK', 'link': 'https://archive.architecturaldigest.com/article/1982/5/antiques-notebook'}, {'title': ""DESIGNER'S TRAVEL NOTES"", 'link': 'https://archive.architecturaldigest.com/article/1982/5/designers-travel-notes'}]",Spring,sienna,black,darksalmon,whitesmoke,lightpink
1982,June,https://architecturaldigest.blob.core.windows.net/architecturaldigest19820601thumbnails/Covers/0x600/19820601.jpg,"[{'title': 'The Collectors: A Unifying Aesthetic', 'link': 'https://archive.architecturaldigest.com/article/1982/6/the-collectors-a-unifying-aesthetic'}, {'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1982/6/artists-dialogue'}, {'title': 'Two Cultures', 'link': 'https://archive.architecturaldigest.com/article/1982/6/two-cultures'}]",Summer,darkslategrey,whitesmoke,black,slategrey,darkgrey
1982,July,https://architecturaldigest.blob.core.windows.net/architecturaldigest19820701thumbnails/Covers/0x600/19820701.jpg,"[{'title': 'Historic Houses: Mark Twain in Hartford', 'link': 'https://archive.architecturaldigest.com/article/1982/7/historie-houses-mark-twain-in-hartford'}, {'title': 'Antiques: Chinese Export Silver', 'link': 'https://archive.architecturaldigest.com/article/1982/7/antiques-chinese-export-silver'}, {'title': 'Art: The Tea Hour', 'link': 'https://archive.architecturaldigest.com/article/1982/7/art-the-tea-hour'}]",Summer,black,whitesmoke,sienna,darkolivegreen,tan
1982,August,https://architecturaldigest.blob.core.windows.net/architecturaldigest19820801thumbnails/Covers/0x600/19820801.jpg,"[{'title': ""ARTIST'S DIALOGUE"", 'link': 'https://archive.architecturaldigest.com/article/1982/8/artists-dialogue'}, {'title': 'Art: Portrait of the Artist', 'link': 'https://archive.architecturaldigest.com/article/1982/8/art-portrait-of-the-artist'}, {'title': 'PEOPLE ARE THE ISSUE', 'link': 'https://archive.architecturaldigest.com/article/1982/8/people-are-the-issue'}]",Summer,darkslategrey,whitesmoke,black,dimgrey,darkgrey
